date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:20	22458/22458	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20May%202021%2012:13:11%20GMT	https://barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/audio1_html5.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/lbg-audio1-html5/audio1_html5/js/audio1_html5f049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:21	1392/1392	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:57:59%20GMT	https://barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/jquery.mousewheel.min.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/jquery.mousewheel.minf049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:22	20430/20430	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:57:59%20GMT	https://barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/jquery.touchSwipe.min.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/jquery.touchSwipe.minf049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:23	51890/51890	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:57:59%20GMT	https://barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/audio7_html5.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/audio7_html5f049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:24	315/315	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:57:59%20GMT	https://barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/google_a.js?ver=6.0	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/plugins/elementor_widget_apollo_audio_player/audio7_html5/js/google_af049.js	(from https://barestostudio.com/maesha-rifaldi/)
11:04:26	468578/468578	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2015:15:02%20GMT	https://barestostudio.com/wp-content/uploads/2021/05/Asset-3-870x1024.png	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/2021/05/Asset-3-870x1024.png	(from https://barestostudio.com/maesha-rifaldi/)
11:04:28	186132/186132	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2020:18:21%20GMT	https://barestostudio.com/wp-content/uploads/2021/05/Asset-1-1.png	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/2021/05/Asset-1-1.png	(from https://barestostudio.com/maesha-rifaldi/)
11:04:28	33511/33511	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Jun%202021%2004:48:36%20GMT	https://barestostudio.com/wp-content/uploads/2021/06/Asset-1.png	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/2021/06/Asset-1.png	(from https://barestostudio.com/maesha-rifaldi/)
11:04:28	19088/19088	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2016:52:26%20GMT	https://barestostudio.com/wp-content/uploads/2021/05/Asset-5.png	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/2021/05/Asset-5.png	(from https://barestostudio.com/maesha-rifaldi/)
11:04:30	186236/186236	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2020:18:23%20GMT	https://barestostudio.com/wp-content/uploads/2021/05/Asset-2.png	/storage/emulated/0/HTTrack/Websites/weddinginviatiton/barestostudio.com/wp-content/uploads/2021/05/Asset-2.png	(from https://barestostudio.com/maesha-rifaldi/)
